// 魔物减伤DB, 在一些官服中, 特定的魔物受到的伤害只有 1/10 由此可以配置减伤的万分比
// 即1000伤害修正为原来的10%
// 本功能在 BetterRA.conf 中的 mob_dmgrate_db 选项开启


1511,1000
1685,1000
1785,1000
1518,1000
1630,1000
1039,1000
1874,1000
2068,1000
2253,1000
1272,1000
1418,1000
1719,1000
1046,1000
1389,1000
1112,1000
1115,1000
3633,1000
1871,1000
1252,1000
2251,1000
1768,1000
1086,1000
1885,1000
2165,1000
1492,1000
1832,1000
2255,1000
1734,1000
1251,1000
2202,1000
1779,1000
1688,1000
2156,1000
1373,1000
1147,1000
3741,1000
1150,1000
1917,1000
2362,1000
1190,1000
1087,1000
1157,1000
1159,1000
2249,1000
2087,1000
1751,1000
1623,1000
1583,1000
1312,1000
1059,1000
2080,1000
//20381,1000
//20421,1000
//20422,1000
//20419,1000
//20426,1000
//20386,1000
//20387,1000
//20389,1000
//20391,1000
//20392,1000
//20393,1000
//20394,1000
//20519,1000
//20520,1000
//20573,1000
//20580,1000
//20601,1000
//20610,1000
//20611,1000
//20618,1000
//20690,1000
//20693,1000
//20694,1000
//20648,1000
